wl,fchi1,fchi2,fchi3,fchi4,gray1,gray2,gray3,gray4,pvul1,pvul2,pvul3,pvul4,aurs1,aurs2,aurs3,aurs4,reps1,reps2,reps3,reps4,lats1,lats2,lats3,lats4,ecry1,ecry2,ecry3,ecry4,vrid1,vrid2,vrid3,vrid4,clor1,clor2,clor3,clor4,neus1,neus2,neus3,neus4,prsi1,prsi2,prsi3,prsi4,xyln1,xyln2,xyln3,xyln4,smgg1,smgg2,smgg3,smgg4,smgp1,smgp2,smgp3,smgp4,smgr1,smgr2,smgr3,smgr4,rugo1,rugo2,rugo3,rugo4,pali1,pali2,pali3,pali4,punc1,punc2,punc3,punc4,pind1,pind2,pind3,pind4,pora1,pora2,pora3,pora4,porb1,porb2,porb3,porb4,rina1,rina2,rina3,rina4,roci1,roci2,roci3,roci4,tars1,tars2,tars3,tars4,boid1,boid2,boid3,boid4,brun1,brun2,brun3,brun4,conc1,conc2,conc3,conc4,macl1,macl2,macl3,macl4,anom1,anom2,anom3,anom4,atki1,atki2,atki3,atki4,rayn1,rayn2,rayn3,rayn4,repb1,repb2,repb3,repb4,opal1,opal2,opal3,opal4,rose1,rose2,rose3,rose4,psch1,psch2,psch3,psch4
300,11.73818182,13.83,8.101818182,12.34454545,14.23363636,24.62818182,15.70090909,19.87363636,29.02363636,38.25090909,28.21090909,25.61636364,45.56909091,44.51636364,38.94636364,35.88545455,9.547272727,2.538181818,5.150909091,7.920909091,30.02,27.85363636,30.39181818,30.91,27.78818182,26.85,23.07909091,22.46272727,19.89272727,21.29636364,24.13454545,29.48090909,23.44909091,23.04363636,24.62545455,21.11272727,16.24727273,17.20545455,9.377272727,14.06181818,47.62545455,42.09727273,29.93090909,40.94545455,34.22636364,35.47363636,41.73272727,37.43818182,12.60090909,13.88454545,13.84909091,17.72090909,11.36545455,20.03636364,13.63818182,17.09545455,20.31272727,16.61454545,13.06272727,18.10636364,22.89636364,10.33636364,21.05272727,19.64727273,32.72,39.57818182,35.45818182,31.97363636,15.10545455,14.82181818,22.07818182,17.33545455,32.19636364,39.80545455,40.45363636,29.68,33.58636364,31.13090909,28.78363636,35.49727273,16.90454545,20.19636364,25.84545455,23.30363636,15.23363636,8.714545455,23.52,20.23181818,34.15363636,32.13545455,43.22,33.27636364,26.16181818,29.56818182,33.46,30.09909091,14.60909091,19.65363636,17.90363636,22.30272727,24.89272727,26.67181818,24.48636364,27.56545455,41.55363636,45.86909091,38.56090909,42.17727273,38.45909091,53.46363636,45.19454545,49.92454545,12.01818182,6.974545455,8.737272727,9.796363636,4.366363636,13.29090909,10.12090909,9.885454545,10.65545455,10.61727273,20.47545455,17.68727273,9.350909091,9.224545455,4.139090909,8.782727273,29.05818182,35.20454545,27.47181818,41.78818182,35.10454545,41.13636364,37.60181818,39.51545455,17.67090909,26.84818182,23.07181818,28.35181818
302,13.118,14.76066667,8.655333333,12.33266667,14.818,25.02866667,16.18333333,20.23533333,30.27733333,38.74266667,28.18333333,26.53866667,46.206,45.15066667,38.16266667,36.67133333,10.968,3.835333333,5.446666667,7.726,30.718,28.51533333,30.48666667,30.064,27.77466667,27.50733333,22.61933333,21.45466667,20.34,21.02733333,24.49533333,29.402,23.94933333,23.43,25.24066667,21.41466667,16.036,16.26066667,10.88266667,14.856,48.29533333,40.81666667,29.09266667,39.916,36.73266667,35.49266667,41.32666667,38.37466667,11.93,14.47733333,14.02466667,17.80666667,9.986,19.69533333,13.37266667,17.14333333,20.62266667,16.48066667,13.254,17.65133333,22.77266667,11.366,21.79466667,20.47466667,31.68666667,39.19333333,35.27066667,32.03466667,15.704,14.46,20.30466667,16.814,31.75266667,39.20066667,39.484,30.552,33.64933333,30.61066667,28.618,35.094,17.414,20.228,26.56333333,23.254,15.078,8.875333333,23.06,20.72933333,33.70133333,31.182,42.128,33.176,25.692,30.406,33.81466667,30.432,14.36,19.90933333,17.38066667,22.58066667,24.524,26.46466667,25.554,28.01666667,42.072,44.74666667,37.05133333,42.528,39.30466667,54.58666667,44.464,48.568,11.87533333,8.475333333,8.924666667,10.21066667,4.274666667,13.13133333,11.10666667,10.334,10.316,11.93,19.31333333,17.308,9.459333333,7.695333333,5.563333333,9.991333333,28.482,34.134,27.52466667,40.59333333,35.77333333,40.43666667,37.92266667,39.41,18.46733333,26.506,23.986,28.47933333
304,14.3795,15.103,8.371,11.8585,14.8955,24.6965,16.2155,20.502,31.0885,39.0045,27.65,26.638,46.116,44.685,36.7015,36.0745,11.6315,4.164,4.957,6.881,31.528,28.783,29.6845,28.547,27.721,27.3865,21.021,19.667,19.746,19.545,24.337,29.4735,24.414,22.6315,25.719,21.8045,15.2,15.1485,11.6905,14.8935,46.4465,39.3105,27.4575,38.277,37.85,35.547,40.0915,38.0415,11.851,14.1465,13.372,17.461,9.251,18.744,13.0565,16.794,20.4795,15.7515,12.7695,17.3465,21.82,12.262,21.455,21.2745,31.196,39.553,34.478,32.052,15.504,14.063,19.181,16.1175,30.402,38.885,37.4995,30.819,32.8415,29.627,28.0515,35.1905,17.3985,21.097,26.7445,23.655,15.1565,9.743,22.7215,21.0135,33.7865,30.038,40.3095,32.6895,25.598,30.492,33.8675,30.721,13.725,19.0115,17.1675,21.964,23.4345,25.6365,26.02,27.4165,43.1635,43.4445,35.3485,40.9345,40.551,55.7515,43.541,46.892,11.1305,9.5245,7.4845,11.1995,4.727,12.57,11.219,10.365,10.835,12.5145,18.1795,17.02,8.909,6.047,7.0805,10.115,28.141,32.993,27.079,38.829,36.069,40.3315,38.3495,38.7665,18.8885,25.367,24.644,28.1205
306,15.38090909,14.95090909,8.277727273,11.70363636,15.47772727,24.43,16.05181818,20.73545455,30.6,38.13181818,27.01954545,26.93818182,46.43,44.42181818,35.825,35.49363636,11.58272727,4.117727273,4.529545455,6.511363636,31.70045455,29.20681818,29.30590909,27.38181818,27.65909091,27.13090909,19.93363636,18.72545455,18.93,18.435,23.89136364,29.34227273,23.705,21.46090909,26.02090909,21.70045455,14.93363636,14.56136364,12.09772727,13.58363636,43.79681818,38.34863636,25.55954545,36.83045455,38.46227273,35.81090909,39.00727273,37.53,12.68318182,13.96772727,13.25454545,17.455,8.525,18.13227273,12.64681818,16.4,19.90954545,15.54136364,12.14136364,16.92318182,21.47272727,12.78363636,21.50818182,21.86363636,30.95045455,39.78454545,33.45545455,32.34136364,14.99272727,14.44636364,17.48136364,15.35409091,30.18272727,38.45545455,36.91681818,31.18727273,31.80590909,28.59954545,27.065,35.05227273,17.125,21.96454545,27.32636364,23.93227273,15.43636364,10.32318182,22.76818182,21.48,33.91863636,28.96863636,38.63318182,32.19590909,25.67181818,29.82909091,33.23045455,31.56136364,13.34954545,18.59,16.26,21.64318182,23.36727273,25.16772727,26.82045455,26.53454545,43.54954545,42.95727273,34.66181818,39.68318182,41.77681818,56.29590909,42.38272727,45.07954545,10.45227273,10.13590909,7.226363636,11.76772727,4.738636364,12.33863636,11.29045455,10.18727273,11.32,13.12272727,17.39409091,16.87681818,8.541818182,5.009090909,8.247727273,10.20818182,28.02545455,32.21818182,26.94318182,37.07454545,36.26772727,40.15636364,39.05863636,37.77818182,19.13181818,23.56590909,24.83545455,27.88136364
308,17.43363636,14.71136364,8,11.39409091,15.65954545,22.53454545,15.83772727,20.90636364,30.20045455,36.22227273,26.58863636,27.34136364,46.22090909,43.80727273,35.05590909,35.18181818,10.29272727,2.594090909,3.534090909,5.638181818,30.96590909,28.95818182,28.81045455,25.17681818,26.205,26.60181818,19.36727273,17.45681818,17.61636364,17.21181818,22.73454545,27.06545455,22.84772727,20.38181818,25.35409091,21.47818182,14.29636364,13.31954545,11.75590909,11.31363636,41.64,36.59318182,23.62181818,34.20363636,38.27818182,35.40636364,36.87909091,36.79,13.00590909,13.11681818,12.61909091,18.05772727,8.182272727,15.79681818,12.32136364,15.17590909,18.42772727,13.72454545,11.33818182,15.72545455,20.34045455,14.24681818,20.425,23.00227273,30.36181818,39.29545455,31.39363636,31.73454545,13.565,14.96636364,15.42227273,13.81727273,29.27772727,37.66363636,35.64227273,31.77045455,30.18727273,27.60454545,25.70636364,35.06863636,16.86272727,24.00136364,27.92681818,24.35772727,15.08454545,11.00363636,21.87363636,21.93772727,33.28318182,27.765,35.78272727,31.62,25.90272727,28.78818182,32.79454545,32.87136364,13.50954545,18.28045455,14.74318182,20.61590909,23.06818182,24.19,26.37136364,25.61227273,44.205,41.87454545,33.22272727,37.73863636,43.26181818,56.64318182,40.63272727,42.91363636,10.31227273,10.52727273,7.162272727,12.52136364,4.910909091,12.69,11.24409091,9.915909091,12.66863636,13.55818182,15.05954545,17.35954545,7.596818182,3.874090909,10.68454545,10.54818182,27.66181818,32.10636364,25.94,35.17045455,36.67636364,39.16636364,39.53136364,35.98272727,18.865,21.09090909,24.38681818,26.37136364
310,18.71863636,14.16818182,7.326818182,10.92181818,14.83681818,20.21863636,15.19409091,20.29772727,30.05227273,34.23727273,26.46681818,27.01409091,45.38227273,42.12181818,34.42954545,35.27045455,8.895,1.025909091,3.161818182,4.784090909,29.40181818,27.81409091,28.42136364,23.86590909,24.55681818,25.17954545,18.94636364,16.40136364,16.46227273,15.91045455,20.88681818,25.85136364,22.22681818,19.10863636,23.45909091,21.20545455,13.79136364,12.66863636,11.10136364,9.309545455,40.54545455,35.56772727,22.49272727,32.52181818,36.7,33.68954545,34.70818182,35.87590909,12.36363636,12.185,12.26,17.87409091,8.225909091,13.79363636,12.93545455,13.98727273,17.37318182,12.08363636,10.20954545,15.58681818,19.94181818,15.54136364,19.46363636,23.80318182,30.58181818,38.965,29.78772727,31.76272727,12.96409091,15.13318182,14.29681818,13.32,28.22772727,37.27818182,35.15090909,31.53954545,28.63909091,27.75818182,24.30409091,35.12227273,17.76727273,25.64227273,27.86363636,25.20681818,14.47772727,12.10136364,20.81136364,22.24045455,33.06181818,28.01045455,34.30818182,31.755,26.04863636,28.00363636,32.60090909,33.34181818,13.54545455,18.16772727,14.44409091,20.50636364,22.74181818,23.50590909,25.765,25.13954545,44.85272727,41.22136364,32.87681818,35.395,44.60772727,56.18727273,40.10318182,41.81,10.39409091,10.44545455,7.313636364,13.06318182,6.581818182,13.55818182,10.59,10.37909091,14.07,13.41681818,14.41363636,17.67863636,7.148181818,4.473181818,12.00545455,9.719545455,27.51954545,32.155,24.85636364,33.82272727,35.94590909,38.62363636,39.36,34.64772727,18.78727273,19.94227273,23.89318182,24.69
312,18.98363636,13.29318182,6.233181818,10.34590909,14.44590909,18.42136364,14.17636364,19.36045455,29.33909091,31.99318182,25.94,25.80863636,43.34409091,40.27,34.375,34.73272727,7.426363636,-0.035454545,2.895,4.02,27.66909091,26.68636364,27.42545455,23.16272727,22.79909091,23.31181818,18.35954545,15.44045455,14.90727273,14.77136364,19.26181818,24.58136364,21.68272727,17.815,21.66181818,20.22409091,13.67909091,12.29409091,9.742727273,7.546363636,37.74454545,34.98454545,21.88727273,31.44363636,34.57136364,32.23636364,32.92045455,34.33409091,11.57545455,11.38863636,11.75318182,17.57,8.712272727,12.63681818,13.11954545,13.11818182,17,10.74318182,9.202272727,15.41909091,18.75590909,15.46409091,17.53772727,23.19636364,30.44409091,38.47727273,28.09909091,30.68681818,11.40909091,15.28454545,13.60863636,12.34227273,26.89318182,36.81772727,34.60363636,30.91954545,26.55409091,27.08636364,22.19136364,34.42863636,17.69045455,25.64863636,26.81772727,24.81045455,13.27,11.82545455,19.08409091,21.505,33.16,28.21318182,32.86909091,31.14772727,25.95409091,26.51954545,31.66136364,32.06772727,13.10954545,17.55045455,12.91045455,18.985,21.94590909,22.36227273,24.36772727,24.37727273,43.83318182,40.27318182,32.25454545,32.56318182,44.18272727,54.64136364,38.73727273,40.79409091,10.26181818,9.209090909,6.768181818,12.59045455,7.660454545,13.29590909,9.131363636,10.25363636,14.72818182,12.03863636,13.99136364,17.24136364,5.582272727,4.945909091,11.70590909,7.855,26.28136364,31.98954545,23.49318182,32.83227273,33.69863636,37.94545455,38.34090909,33.62090909,17.61227273,18.36,21.815,22.06954545
314,17.87363636,11.69181818,5.522727273,9.696363636,15.05681818,16.67,13.19954545,17.01818182,27.50454545,29.57727273,25.18818182,24.34863636,40.34636364,38.44818182,34.28545455,34.37045455,5.845454545,-0.494545455,2.847272727,3.66,24.69318182,24.63681818,26.41590909,22.71318182,20.73909091,21.62545455,17.85772727,14.73863636,13.62227273,14.27727273,18.06227273,23.81954545,20.56681818,16.81090909,19.41409091,18.54363636,13.54863636,12.25409091,8.357272727,6.391818182,35.46454545,34.75318182,21.89727273,30.72181818,32.65681818,30.65636364,31.30454545,33.36727273,9.818636364,11.11636364,11.31727273,17.11318182,8.817727273,11.55227273,13.00227273,12.08409091,15.98863636,9.772727273,8.490909091,15.28454545,18.185,14.86636364,16.25090909,22.85545455,29.97954545,37.72727273,27.16636364,29.29727273,10.49590909,15.04681818,12.99272727,11.66136364,26.18590909,35.89863636,34.49272727,30.64181818,24.97772727,27.08636364,20.315,33.10045455,17.59181818,25.30454545,25.63909091,24.09727273,11.91909091,10.75681818,17.46727273,21.04136364,32.94181818,28.68590909,32.13227273,30.63090909,25.86181818,25.00545455,30.77636364,30.51363636,12.69272727,17.34272727,11.64181818,18.21545455,22.07181818,22.20227273,23.41772727,23.95545455,41.84772727,39.75909091,31.91409091,31.29818182,41.94318182,52.00909091,37.185,40.18227273,11.10681818,8.044545455,7.585909091,11.61181818,8.396818182,12.61545455,8.548636364,10.32409091,15.345,11.00590909,14.28772727,17.02409091,4.68,6.672727273,10.37318182,6.752727273,24.70090909,31.91954545,22.46090909,32.44136364,30.75863636,36.48454545,37.36363636,33.37454545,16.16636364,18.055,20.01681818,19.13818182
316,16.11681818,10.79045455,5.128636364,9.320909091,15.09136364,15.20545455,12.72681818,15.16454545,26.41590909,29.28636364,24.25636364,22.99136364,37.8,37.03,33.68,33.87272727,5.270454545,0.328636364,2.9,3.537727273,23.06818182,22.86,25.23545455,22.36,19.39227273,21.03545455,17.36181818,14.19454545,13.15681818,13.93454545,18.31136364,22.98727273,20.16772727,17.07090909,18.31272727,17.20272727,13.02409091,12.045,7.917272727,6.556818182,34.60409091,33.87590909,22.39909091,30.425,31.52454545,29.73409091,30.04909091,32.52454545,7.748636364,11.34136364,10.42590909,16.25454545,8.951363636,11.35136364,12.30636364,11.44272727,15.65590909,9.510454545,8.115454545,14.84363636,17.66272727,13.60727273,14.68636364,22.52136364,29.29181818,36.38818182,26.58272727,27.84045455,10.15636364,13.45454545,12.62272727,11.46954545,25.47090909,34.86772727,32.94181818,28.635,24.62045455,27.00863636,19.36090909,31.13136364,17.56636364,24.40681818,23.72363636,23.42090909,10.59909091,9.513181818,16.19045455,19.99545455,31.82227273,28.59,31.305,30.48136364,25.56454545,24.08863636,30.335,28.41590909,12.17272727,16.22772727,11.19409091,17.33045455,21.21545455,22.15363636,22.46272727,23.59681818,40.05227273,38.41590909,30.47863636,30.69909091,38.71863636,49.22818182,35.64818182,40.03590909,11.58727273,7.001363636,7.208181818,10.42772727,8.691818182,11.11363636,8.288636364,10.12272727,14.69454545,9.808636364,13.36272727,16.19909091,3.897727273,6.714545455,8.480909091,6.22,23.44681818,31.59227273,21.42636364,32.42727273,28.83954545,34.92090909,36.37818182,33.52409091,14.805,18.33909091,19.11136364,17.51363636
318,13.32333333,10.58142857,4.712380952,8.54047619,15.27190476,14.57761905,12.2452381,13.52809524,25.23142857,29.65380952,23.10714286,21.30666667,35.01190476,34.6452381,32.74190476,33.23333333,5.94,2.762857143,3.212857143,3.227142857,22.37619048,21.80809524,23.73714286,21.96047619,19.3047619,19.77095238,16.12952381,13.22714286,12.94238095,12.99952381,18.96619048,23.17190476,20.30809524,16.98428571,17.71,16.75,12.57142857,11.89190476,8.645238095,7.669047619,32.89904762,32.72619048,22.41095238,30.20666667,31.33,28.7247619,28.77,31.60047619,5.073333333,12.88952381,10.00142857,15.24380952,8.461904762,12.29,11.43,11.31809524,14.98571429,10.15904762,7.687142857,14.83904762,17.51904762,12.04190476,13.11666667,21.6952381,28.80333333,35.31190476,26.1147619,25.92,10.37047619,11.31190476,12.12761905,11.60238095,24.17857143,34.04238095,30.93809524,25.45809524,24.70619048,26.7652381,18.15857143,29.13952381,17.30380952,21.97333333,21.53619048,22.19761905,9.612380952,8.48952381,15.34095238,18.48285714,30.81047619,27.92047619,30.30142857,29.71761905,24.87380952,23.27809524,29.52142857,25.64904762,10.93047619,14.51714286,10.82761905,16.7652381,19.9052381,22.39142857,21.63952381,23.52428571,37.83190476,37.3547619,27.65285714,29.92857143,35.12571429,45.83666667,33.80714286,39.76428571,10.57,6.994285714,6.337619048,8.962857143,8.84,9.07,7.981428571,9.974285714,13.22571429,8.62,12.31238095,14.33666667,3.663809524,5.596190476,6.161428571,4.745714286,21.70095238,29.78333333,20.65904762,31.51952381,26.72714286,33.03952381,35.21571429,33.56952381,13.67190476,19.07190476,18.64809524,16.43714286
